text,label
"['KEEP', 'JAGSNPHARM', 'ON', 'RADAR']","['NANA', 'symbol', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'JAGSNPHARM', 'ABOVE', '306', 'SL', '302', 'TARGET', '312', '316', '320']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'NANA']"
"['SUPER', 'DUPER', 'FUNDAMENTALS', 'IN', 'JAGSNPHARM']","['NANA', 'NANA', 'NANA', 'NANA', 'symbol']"
"['JAGSNPHARM', ""DIDN'T"", 'GO', 'ABOVE', 'GIVEN', 'LEVELS', 'OF', '306', 'HENCE', 'CALL', 'STANDS', 'CANCELLED']","['symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'enter', 'NANA', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'BHEL', 'CMP', '45', '80', 'SL', '44', '60', 'TARGET', '48', '50']","['NANA', 'NANA', 'symbol', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'NANA', 'exit', 'NANA']"
"['INTRADAY', 'BUY', 'ELECON', 'ABOVE', '270', 'SL', '267', 'TARGET', '275', '280']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['BTST', 'GABRIEL', 'CMP', '121', '70']","['NANA', 'symbol', 'NANA', 'NANA', 'NANA']"
"['BTST', 'ASAHIINDIA', 'AROUND', '464', 'LEVELS']","['NANA', 'symbol', 'NANA', 'enter', 'NANA']"
"['ASHIINDIA', 'DID', '464', 'TO', '471', 'LEVELS', 'INTRADAY', 'ONLY']","['symbol', 'NANA', 'enter', 'NANA', 'exit', 'NANA', 'NANA', 'NANA']"
"['INTRADAY', 'BUY', 'DANGEE', 'ABOVE', '368', 'SL', '364', 'TARGET', '372', '376', '380']","['NANA', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'NANA']"
