time,message,prediction,isPredAccurate
2022-09-08 06:50:40,"FRIENDS..

ANYTIME MOMENTUM CAN COME IN DCMNVL

ITS A BINDAAAST BUY ","['' 'FRIENDS..ANYTIME' 'MOMENTUM' 'CAN' 'COME' 'IN' 'DCMNVL' 'ITS' 'A'
 'BINDAAAST' 'BUY']",True
2022-09-08 06:42:16,"KEEP DCMNVL ON RADAR

AND WAIT TILL THERE IS AN UPMOVE ABOVE 203 - 205 ","['' 'KEEP' 'DCMNVL' 'ON' 'RADAR' 'AND' 'WAIT' 'TILL' 'THERE' 'IS' 'AN'
 'UPMOVE' 'ABOVE' '203' '-' '205']",True
2022-09-08 06:35:28,"DCMNVL... DCM Nouvelle Ltd

HUGE MOMENTUM ABOVE ARROW LEVEL FOR FLAG BREAKOUT.. DON'T MISS ","['' 'DCMNVL' '...DCM' 'Nouvelle' 'Ltd' 'HUGE' 'MOMENTUM' 'ABOVE' 'ARROW'
 'LEVEL' 'FOR' 'FLAG' 'BREAKOUT..DON' ""'"" 'T' 'MISS']",True
2022-09-08 06:33:50,SUPER DUPER FUNDAMENTALS ,['' 'SUPER' 'DUPER' 'FUNDAMENTALS'],True
2022-09-08 06:32:47,"DELIVERY

BUY DCMNVL CMP 202.70 SL 175 TARGET 245 - 265

MOMENTUM ABOVE 204.50 - 205 ","['' 'DELIVERY' 'BUY' 'DCMNVL' 'CMP' '202.70' 'SL' '175' 'TARGET' '245' '-'
 '265' 'MOMENTUM' 'ABOVE' '204.50' '-' '205']",False
2022-09-08 06:31:19,"FLAG BREAKOUT

DCMNVL

CMP 202.70 ",['' 'FLAG' 'BREAKOUT' 'DCMNVL' 'CMP' '202.70'],True
2022-09-08 06:19:19,"CUP AND HANDLE PATTERN 

MULTIPLE TOPS

RSI BREAKING OUT..

DON'T MISS ABOVE 100 ","['' 'CUP' 'AND' 'HANDLE' 'PATTERN' 'MULTIPLE' 'TOPS' 'RSI' 'BREAKING'
 'OUT..DON' ""'"" 'T' 'MISS' 'ABOVE' '100']",True
2022-09-08 06:17:56,"INTRADAY

BUY ZODIACLOTH ABOVE 100 SL 98 TARGET 114

MOMENTUM ABOVE 101 - 101.50 ","['' 'INTRADAY' 'BUY' 'ZODIACLOTH' 'ABOVE' '100' 'SL' '98' 'TARGET' '114'
 'MOMENTUM' 'ABOVE' '101' '-' '101.50']",False
2022-09-08 06:16:57,"FRIENDS...

ZODIACLOTH ABOVE 100 - 100.50 SUPER BREAKOUT ","['' 'FRIENDS...' 'ZODIACLOTH' 'ABOVE' '100' '-' '100.50' 'SUPER'
 'BREAKOUT']",True
2022-09-08 05:57:29,"INTRADAY

BUY RAYMOND ABOVE 1020 SL 995 TARGET 1045 - 1065 ","['' 'INTRADAY' 'BUY' 'RAYMOND' 'ABOVE' '1020' 'SL' '995' 'TARGET' '1045'
 '-' '1065']",True
2022-09-08 05:45:57,YELLOW ARROW IS THE ONLY HURDLE... FOR SUPER DUPER FLAG BREAKOUT CUM INVERTED H&s PATTERN ,"['' 'YELLOW' 'ARROW' 'IS' 'THE' 'ONLY' 'HURDLE...FOR' 'SUPER' 'DUPER'
 'FLAG' 'BREAKOUT' 'CUM' 'INVERTED' 'H' '&' 's' 'PATTERN']",False
2022-09-08 05:44:26,ONLY HURDLE IS 48.50 ,['' 'ONLY' 'HURDLE' 'IS' '48.50'],True
2022-09-08 05:43:55,"FLAG POLE LENGTH TARGET : 76+

DON'T MISS.... ","['' 'FLAG' 'POLE' 'LENGTH' 'TARGET' ':' '76' '+' 'DON' ""'"" 'T' 'MISS....']",True
