text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
INTRADAY : BUY M&MFIN CMP 189.25 SL 187 TARGET 195 - 200 ,1137,"[{""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 15, ""end"": 21, ""text"": ""M&MFIN"", ""labels"": [""symbol""]}, {""start"": 26, ""end"": 32, ""text"": ""189.25"", ""labels"": [""enter""]}, {""start"": 36, ""end"": 39, ""text"": ""187"", ""labels"": [""sl""]}, {""start"": 47, ""end"": 50, ""text"": ""195"", ""labels"": [""exit""]}, {""start"": 53, ""end"": 56, ""text"": ""200"", ""labels"": [""exit2""]}]",1,1143,2022-09-15T20:34:16.930865Z,2022-09-15T20:34:16.930928Z,16.611
WATCHOUT.. TOKYOPLAST... GOING UP.... TOUCHED 99.90 ,1136,"[{""start"": 11, ""end"": 21, ""text"": ""TOKYOPLAST"", ""labels"": [""symbol""]}, {""start"": 46, ""end"": 51, ""text"": ""99.90"", ""labels"": [""touched""]}]",1,1142,2022-09-15T20:33:58.815115Z,2022-09-15T20:33:58.815174Z,8.208
WATCHOUT... ABOVE 95 IT TOUCHED 101.70.. NEAR TO 102 ,1135,"[{""start"": 18, ""end"": 20, ""text"": ""95"", ""labels"": [""enter""]}, {""start"": 32, ""end"": 38, ""text"": ""101.70"", ""labels"": [""touched""]}, {""start"": 49, ""end"": 52, ""text"": ""102"", ""labels"": [""exit""]}]",1,1141,2022-09-15T20:33:41.581882Z,2022-09-15T20:33:41.581940Z,19.453
INTRADAY : BUY JYOTHYLAB CMP 161 SL 158 TARGET 165 - 168 - 172 - 175 ,1134,"[{""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 15, ""end"": 24, ""text"": ""JYOTHYLAB"", ""labels"": [""symbol""]}, {""start"": 29, ""end"": 32, ""text"": ""161"", ""labels"": [""enter""]}, {""start"": 36, ""end"": 39, ""text"": ""158"", ""labels"": [""sl""]}, {""start"": 47, ""end"": 50, ""text"": ""165"", ""labels"": [""exit""]}, {""start"": 53, ""end"": 56, ""text"": ""168"", ""labels"": [""exit2""]}, {""start"": 59, ""end"": 62, ""text"": ""172"", ""labels"": [""exit3""]}]",1,1140,2022-09-15T20:33:20.613625Z,2022-09-15T20:33:20.613684Z,23.483
JYOTHYLAB IS VERY GOOD FOR DELIVERY ALSO  STRICT STOP LOSS 128 TARGET 200+ ,1133,"[{""start"": 0, ""end"": 9, ""text"": ""JYOTHYLAB"", ""labels"": [""symbol""]}, {""start"": 27, ""end"": 35, ""text"": ""DELIVERY"", ""labels"": [""delivery""]}, {""start"": 59, ""end"": 62, ""text"": ""128"", ""labels"": [""sl""]}, {""start"": 70, ""end"": 73, ""text"": ""200"", ""labels"": [""exit""]}]",1,1139,2022-09-15T20:32:55.622748Z,2022-09-15T20:32:55.622787Z,16.428
BTST : RAILTEL CMP 104 ,1132,"[{""start"": 0, ""end"": 4, ""text"": ""BTST"", ""labels"": [""btst""]}, {""start"": 7, ""end"": 14, ""text"": ""RAILTEL"", ""labels"": [""symbol""]}, {""start"": 19, ""end"": 22, ""text"": ""104"", ""labels"": [""enter""]}]",1,1138,2022-09-15T20:32:37.600384Z,2022-09-15T20:32:37.600438Z,7.475
 ,1131,,1,1137,2022-09-15T20:32:28.467631Z,2022-09-15T20:32:28.467708Z,1.398
 ,1130,,1,1136,2022-09-15T20:32:25.511450Z,2022-09-15T20:32:25.511499Z,2.394
DELIVERY : BUY MAHSEAMLES CMP 587 SL 524 TARGET 660 - 695 - 725 ,1129,"[{""start"": 0, ""end"": 8, ""text"": ""DELIVERY"", ""labels"": [""delivery""]}, {""start"": 15, ""end"": 25, ""text"": ""MAHSEAMLES"", ""labels"": [""symbol""]}, {""start"": 30, ""end"": 33, ""text"": ""587"", ""labels"": [""enter""]}, {""start"": 37, ""end"": 40, ""text"": ""524"", ""labels"": [""sl""]}, {""start"": 48, ""end"": 51, ""text"": ""660"", ""labels"": [""exit""]}, {""start"": 54, ""end"": 57, ""text"": ""695"", ""labels"": [""exit2""]}, {""start"": 60, ""end"": 63, ""text"": ""725"", ""labels"": [""exit3""]}]",1,1135,2022-09-15T20:32:21.602516Z,2022-09-15T20:32:21.602602Z,23.845
INTRADAY : BUY OIL ABOVE 263 SL 260 TARGET 267 - 270 ,1128,"[{""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 15, ""end"": 18, ""text"": ""OIL"", ""labels"": [""symbol""]}, {""start"": 25, ""end"": 28, ""text"": ""263"", ""labels"": [""enter""]}, {""start"": 32, ""end"": 35, ""text"": ""260"", ""labels"": [""sl""]}, {""start"": 43, ""end"": 46, ""text"": ""267"", ""labels"": [""exit""]}, {""start"": 49, ""end"": 52, ""text"": ""270"", ""labels"": [""exit2""]}]",1,1134,2022-09-15T20:31:55.771067Z,2022-09-15T20:31:55.771142Z,15.505
