text,id,label,annotator,annotation_id,created_at,updated_at,lead_time
JAGRAN CAN TARGET 65 - 70 IN EXTREME SHORT TERM ,870,"[{""start"": 0, ""end"": 6, ""text"": ""JAGRAN"", ""labels"": [""symbol""]}, {""start"": 18, ""end"": 20, ""text"": ""65"", ""labels"": [""exit""]}, {""start"": 23, ""end"": 25, ""text"": ""70"", ""labels"": [""exit2""]}]",1,876,2022-09-13T05:34:58.588186Z,2022-10-06T05:32:20.011079Z,11.672
KKCL..... 256 - 263+ ,853,"[{""start"": 0, ""end"": 4, ""text"": ""KKCL"", ""labels"": [""symbol""]}, {""start"": 10, ""end"": 13, ""text"": ""256"", ""labels"": [""enter""]}, {""start"": 16, ""end"": 19, ""text"": ""263"", ""labels"": [""touched""]}]",1,859,2022-09-13T05:33:28.567305Z,2022-10-06T05:32:07.077011Z,13.69
INTRADAY UPDATE  NELCAST GIVEN AT 67 IS GOING STRONG AT 69.90  KEEP ON BOOKING/ TRAILING ACCORDINGLY ,816,"[{""start"": 17, ""end"": 24, ""text"": ""NELCAST"", ""labels"": [""symbol""]}, {""start"": 34, ""end"": 36, ""text"": ""67"", ""labels"": [""enter""]}, {""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 56, ""end"": 61, ""text"": ""69.90"", ""labels"": [""touched""]}]",1,822,2022-09-13T05:29:37.019474Z,2022-10-06T05:31:42.927069Z,15.174999999999999
VETO.. GIVEN AT 89 GOING STRONG AT 92.70 ,766,"[{""start"": 0, ""end"": 4, ""text"": ""VETO"", ""labels"": [""symbol""]}, {""start"": 16, ""end"": 18, ""text"": ""89"", ""labels"": [""enter""]}, {""start"": 35, ""end"": 40, ""text"": ""92.70"", ""labels"": [""touched""]}]",1,772,2022-09-13T05:24:10.717966Z,2022-10-06T05:30:47.636679Z,13.623999999999999
DELIVERY UPDATE  DELIVERY BUY GIVEN IN BDL AT 782 YESTERDAY   GOING STRONG AT : 809+ ,692,"[{""start"": 39, ""end"": 42, ""text"": ""BDL"", ""labels"": [""symbol""]}, {""start"": 46, ""end"": 49, ""text"": ""782"", ""labels"": [""enter""]}, {""start"": 0, ""end"": 8, ""text"": ""DELIVERY"", ""labels"": [""delivery""]}, {""start"": 17, ""end"": 25, ""text"": ""DELIVERY"", ""labels"": [""delivery""]}, {""start"": 80, ""end"": 83, ""text"": ""809"", ""labels"": [""touched""]}]",1,698,2022-09-12T21:10:08.575500Z,2022-10-06T05:29:46.819680Z,26.541
REFEX HAVING A GREAT POTENTIAL OF TOUCHING 175+ IN EXTREME SHORT TERM..  INTRADAY : 143+ POSSIBLE ,677,"[{""start"": 0, ""end"": 5, ""text"": ""REFEX"", ""labels"": [""symbol""]}, {""start"": 84, ""end"": 87, ""text"": ""143"", ""labels"": [""exit""]}, {""start"": 73, ""end"": 81, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 43, ""end"": 46, ""text"": ""175"", ""labels"": [""exit2""]}]",1,680,2022-09-12T11:24:31.386138Z,2022-10-06T05:29:15.314926Z,63.55
INTRADAY  BUY EMMBI ABOVE 99 SL 97 TARGET 107 - 111 - 113 ,623,"[{""start"": 14, ""end"": 19, ""text"": ""EMMBI"", ""labels"": [""symbol""]}, {""start"": 26, ""end"": 28, ""text"": ""99"", ""labels"": [""enter""]}, {""start"": 32, ""end"": 34, ""text"": ""97"", ""labels"": [""sl""]}, {""start"": 42, ""end"": 45, ""text"": ""107"", ""labels"": [""exit""]}, {""start"": 48, ""end"": 51, ""text"": ""111"", ""labels"": [""exit2""]}, {""start"": 54, ""end"": 57, ""text"": ""113"", ""labels"": [""exit3""]}, {""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}]",1,626,2022-09-11T11:28:03.081159Z,2022-10-06T05:28:01.213511Z,16.278
BSE SHOWING 132+ ... CAN QUICKLY UPMOVE UPTO 135+ ,570,"[{""start"": 0, ""end"": 3, ""text"": ""BSE"", ""labels"": [""symbol""]}, {""start"": 45, ""end"": 48, ""text"": ""135"", ""labels"": [""exit""]}, {""start"": 12, ""end"": 15, ""text"": ""132"", ""labels"": [""touched""]}]",1,573,2022-09-10T18:45:12.623451Z,2022-10-06T05:27:24.209251Z,23.865000000000002
INTRADAY TARGET OF 75  ACHIEVED IN HFCL  BUY GIVEN AT 71.80 .. HIGH MADE : 75.25 ,558,"[{""start"": 35, ""end"": 39, ""text"": ""HFCL"", ""labels"": [""symbol""]}, {""start"": 54, ""end"": 59, ""text"": ""71.80"", ""labels"": [""enter""]}, {""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 19, ""end"": 21, ""text"": ""75"", ""labels"": [""touched""]}, {""start"": 75, ""end"": 80, ""text"": ""75.25"", ""labels"": [""touched""]}]",1,561,2022-09-10T18:44:10.590260Z,2022-10-06T05:27:09.669053Z,47.351
INTRADAY : BUY CHALET ABOVE 338 SL 334 TARGET 345 - 350 ,536,"[{""start"": 15, ""end"": 21, ""text"": ""CHALET"", ""labels"": [""symbol""]}, {""start"": 28, ""end"": 31, ""text"": ""338"", ""labels"": [""enter""]}, {""start"": 35, ""end"": 38, ""text"": ""334"", ""labels"": [""sl""]}, {""start"": 46, ""end"": 49, ""text"": ""345"", ""labels"": [""exit""]}, {""start"": 0, ""end"": 8, ""text"": ""INTRADAY"", ""labels"": [""intraday""]}, {""start"": 52, ""end"": 55, ""text"": ""350"", ""labels"": [""exit2""]}]",1,538,2022-09-10T18:41:45.451975Z,2022-10-06T05:26:31.264383Z,13.847999999999999
